id,LastName,FirstName,SSN
60055cff2d8d3258865940ae,Alfalfa,Aloysius,123-45-6789
60055cff2d8d3258865940af,Alfred,University,123-12-1234
60055cff2d8d3258865940b0,Gerty,Gramma,567-89-0123
60055cff2d8d3258865940b1,Android,Electric,087-65-4321
60055cff2d8d3258865940b2,Bumpkin,Fred,456-78-9012
60055cff2d8d3258865940b3,Rubble,Betty,234-56-7890
60055cff2d8d3258865940b4,Noshow,Cecil,345-67-8901
60055cff2d8d3258865940b5,Buff,Bif,632-79-9939
60055cff2d8d3258865940b6,Airpump,Andrew,223-45-6789
60055cff2d8d3258865940b7,Backus,Jim,143-12-1234
60055cff2d8d3258865940b8,Carnivore,Art,565-89-0123
60055cff2d8d3258865940b9,Dandy,Jim,087-75-4321
60055cff2d8d3258865940ba,Elephant,Ima,456-71-9012
60055cff2d8d3258865940bb,Franklin,Benny,234-56-2890
60055cff2d8d3258865940bc,George,Boy,345-67-3901
60055cff2d8d3258865940bd,Heffalump,Harvey,632-79-9439
